사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,2호선,0208,왕십리(성동구청),599,0,5567,817,8226,7486,21240,10658,38343,23777,24862,17157,16835,14200,17417,15252,19956,17578,21305,19255,20402,19507,22345,21201,25457,24710,29977,34401,32731,52505,21714,32882,20940,20389,24261,17308,24117,16306,13156,11081,2291,4675,17,102,0,0,0,0
2024-02,2호선,0209,한양대,1,0,876,507,2112,5579,4707,8645,8022,28912,5412,32157,5126,18407,7674,11721,9796,13282,10914,16219,10408,12499,13005,9567,20043,8504,29816,8821,25303,9860,11969,6471,8554,4976,7835,4851,6602,4309,3914,3080,830,1137,3,29,0,0,0,0
2024-02,2호선,0210,뚝섬,14,0,2784,2307,6902,14937,15619,35603,23215,126622,15454,87155,13534,39088,15507,33306,20337,33646,24860,37393,30749,32846,37643,32744,47380,33881,74946,36633,124179,43422,63632,25439,43469,14262,38744,11634,25480,10520,10212,6872,1412,2474,10,82,0,0,0,0
2024-02,2호선,0211,성수,66,0,4721,3307,7791,29311,19210,65569,27257,234530,21398,143326,20147,74838,23897,64976,31897,70629,41245,75805,52175,74071,65936,73503,83392,69429,135905,69105,232341,70306,117384,42055,87783,20541,75558,15964,52382,13639,21477,10379,3307,5438,10,870,0,0,0,0
2024-02,2호선,0212,건대입구,246,9,13161,1701,19349,13497,46254,20478,82650,50551,55982,47648,36257,38893,35205,44807,40678,51226,44731,57506,46947,57826,51224,65118,58864,75977,69522,98776,81316,140827,62612,98467,64045,60263,71069,54786,72603,47596,44318,28160,7427,10227,59,876,0,3,0,0
2024-02,2호선,0213,구의(광진구청),49,3,12123,1156,23053,22918,59696,14599,105492,35599,66482,21228,36023,18605,29527,19409,32134,22604,31408,26012,29076,27693,30874,35131,38028,39988,40316,54246,41573,88084,24004,64855,18402,43197,16477,40606,15083,37389,7817,21449,1366,7038,17,116,0,0,0,0
2024-02,2호선,0214,강변(동서울터미널),37,1,7976,1821,23548,17678,67627,21323,104054,37917,79868,33995,61767,35970,57267,34702,53054,39481,51929,43844,46123,47884,46399,56286,49982,61483,52943,75173,55029,101047,38887,74961,30083,51000,26151,42187,16560,36531,6839,19728,1058,5151,18,68,0,0,0,0
2024-02,2호선,0215,잠실나루,12,0,2739,2593,10836,13411,31303,20033,41613,35578,28491,23811,23353,18452,23126,16554,22594,19685,21331,20754,22622,18785,25050,19159,31591,20151,33783,26061,28642,36617,13999,27496,10514,17022,7758,16151,5301,14607,2434,8460,350,2497,6,65,0,1,0,0
2024-02,2호선,0216,잠실(송파구청),74,3,11353,4386,45004,28961,106700,72215,152280,165682,111099,170690,77868,126213,79794,118529,89234,115464,99580,118905,108561,116697,127011,125810,150824,138374,188277,171852,223916,220995,167262,146200,174463,96538,148151,86097,97632,75456,29837,42584,4227,8967,33,193,0,0,0,0
2024-02,2호선,0217,잠실새내,38,1,4919,941,15460,7187,50185,13434,71603,26325,49125,29484,32819,23222,31217,25011,33812,28643,33454,33039,31247,35652,33835,38541,35201,44992,38609,59326,41434,82876,31347,58319,26531,35726,25295,31210,23827,28665,13014,15732,2158,4672,15,83,0,0,0,0
2024-02,2호선,0218,종합운동장,10,2,1498,1008,5211,8104,13872,10025,21094,16825,15236,13479,11126,9488,10146,7588,10763,10448,11281,12862,14578,12260,12476,13252,14410,13521,13543,17193,15733,24537,9762,15636,9981,10246,10212,9591,4059,8990,1609,5170,277,1519,1,77,0,0,0,0
2024-02,2호선,0219,삼성(무역센터),173,1,4031,4866,6058,38310,12556,118724,17015,300474,18782,229299,21705,109274,32845,79072,41709,73300,56775,77797,74128,66099,95663,57895,122710,53628,200119,57068,276235,57796,145376,31710,112662,17433,94896,13680,64016,10728,16731,5837,2369,3331,5,910,0,4,0,0
2024-02,2호선,0220,선릉,146,1,4328,5547,10288,35842,18329,102362,30313,248504,29955,199629,32138,96192,42091,60755,51284,58500,60454,64842,72424,54179,94642,47607,119414,45959,181532,50464,262541,56508,136340,35337,87102,22362,80699,18937,66472,17139,25703,10208,4045,4624,17,165,0,0,0,0
2024-02,2호선,0221,역삼,53,3,3188,6327,7641,38006,13220,139279,23802,331114,21555,278748,22404,118785,30924,62523,39133,57420,47280,61826,57384,49526,77992,43232,96067,41310,199093,47283,254113,55281,141359,35334,83120,21387,75257,17733,51207,14953,20509,9466,3613,3099,5,86,0,0,0,0
2024-02,2호선,0222,강남,145,10,8014,10814,15893,48302,34322,134771,56432,271355,47897,297901,49385,144846,66553,100657,83055,102174,99795,115878,111077,102223,135786,100553,161058,104287,227675,129490,290496,168280,202703,102002,157648,54598,177333,43201,152850,36371,75106,21386,13409,6133,41,190,1,0,0,0
