사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,3호선,0328,잠원,2,0,942,607,3999,6535,10705,5607,15679,7381,10481,6027,7665,4370,7553,4637,7575,5192,7361,6497,6664,6235,7815,6970,10325,7403,11077,10090,8355,12805,4699,9310,3383,6242,3148,6193,1945,7321,635,3478,126,1073,1,7,0,0,0,0
2024-02,3호선,0329,고속터미널,183,7,5094,3719,6800,31875,22631,45356,42428,73245,50980,92860,55855,94261,69053,102135,83392,97758,92201,98421,101857,104948,115426,106935,126416,105512,139989,109675,134475,113803,115950,73069,124551,46101,75823,37521,47292,26310,16908,12074,2035,2466,48,20,0,0,0,0
2024-02,3호선,0330,교대(법원.검찰청),71,1,1435,515,3855,5688,8104,17393,13150,45017,11181,36652,12660,15992,16057,12207,19071,11356,23746,11686,27678,10546,28627,10024,31166,10831,47481,14993,63279,18354,30899,10653,26424,5824,27183,4818,21719,4036,8291,2564,1313,773,3,19,0,0,0,0
2024-02,3호선,0331,남부터미널(예술의전당),38,1,2714,1196,8125,22675,24235,58713,40461,140140,34817,77918,33184,47887,37923,38112,39655,39677,43108,48298,45221,43714,50798,43887,59188,45661,99772,53411,123621,60828,57216,40611,40891,24541,37550,18763,32607,14349,8069,8514,920,2375,2,9,0,0,0,0
2024-02,3호선,0332,양재(서초구청),45,3,4776,2445,12267,35814,30485,93040,40882,209859,29541,112937,27217,53519,30628,43064,36181,40107,40806,44253,46106,38835,53192,38535,66475,43522,116178,59902,172517,71191,79711,48607,58449,31153,56236,26483,38038,23298,12673,12449,1387,3430,1,66,0,0,0,0
2024-02,3호선,0333,매봉,16,0,1531,635,6037,7570,15237,22144,19189,69319,13822,32158,13116,15222,13715,13862,13745,13106,14856,12776,16642,12492,18932,12794,21261,13921,36222,17743,57757,22261,19213,15174,14127,9135,15209,8185,9201,7627,3043,4150,373,1354,5,46,0,0,0,0
2024-02,3호선,0334,도곡,79,3,996,187,3030,3712,8945,10766,10913,18140,7565,15221,6446,7514,6868,7124,7274,6313,7396,6872,7521,6347,8941,6828,10162,6670,15332,8586,15939,10483,8189,8795,5821,5339,5116,4915,3994,4472,1003,2505,209,1570,2,209,0,0,0,0
2024-02,3호선,0335,대치,9,1,2755,611,11238,6946,23220,17034,24325,27356,16330,22558,13750,15937,14190,14719,16914,18959,18785,22256,16445,19297,18942,18782,21147,20876,32211,27591,28232,29730,17547,21210,12098,13325,14855,12439,34098,10704,3491,6381,466,1825,0,6,0,0,0,0
2024-02,3호선,0336,학여울,1,0,513,197,1675,1336,3413,2956,4123,7072,3190,6094,2739,6289,3551,5861,5096,6240,6099,6738,6326,6459,7409,4613,7557,3432,8317,3683,7098,4050,2264,3205,1585,2311,1311,1957,877,1755,269,982,36,366,0,3,0,0,0,0
2024-02,3호선,0337,대청,130,2,3142,1011,9868,6573,25747,12962,34192,24128,19871,12370,15457,8477,14469,8231,14434,9730,15388,10973,14024,12202,14828,13952,16658,15249,22527,19745,24519,28943,10936,22320,8133,15988,6076,14228,4444,15006,1687,7612,265,2845,3,15,0,0,0,0
2024-02,3호선,0338,일원,13,0,2051,1604,7573,10360,20016,27059,22397,21836,17117,17809,17314,16655,17858,12184,17615,14889,15993,16044,17916,15446,21421,13981,25381,13576,33379,15168,18014,20835,10206,15954,6631,11167,4514,10448,3607,10961,1310,4649,101,1589,0,48,0,0,0,0
2024-02,3호선,0339,수서,82,3,4072,2299,10650,14243,32168,29017,41325,49141,28393,33835,34479,22898,24532,20543,34515,25319,29593,22319,22848,23583,31267,27707,33913,31162,41604,37559,47702,51347,22592,37425,22804,26043,15179,22061,14502,20036,7724,8091,690,3022,80,246,0,0,0,0
2024-02,3호선,0340,가락시장,68,6,2482,517,6134,5681,17721,10466,20440,23888,14707,13174,13343,10000,13487,10432,14025,11986,13688,12320,13941,12709,15220,14899,15902,15011,20076,18167,25445,24132,11163,16880,8296,11263,7516,9586,5451,8747,2247,4973,346,1562,7,52,0,0,0,0
2024-02,3호선,0341,경찰병원,16,0,2472,247,6730,3026,19781,8474,25021,25968,14429,14351,11177,7962,10018,6197,9545,7799,9564,8915,9780,7954,10412,9174,9762,9723,14566,13984,19410,20940,7149,16165,5614,10190,4587,8767,3265,8195,945,4700,152,1521,0,22,0,0,0,0
2024-02,3호선,0342,오금,35,0,4033,11,7564,2406,24577,5008,29353,11540,14678,5707,9055,4571,8035,4281,8535,5670,8061,5778,7049,6174,6545,8244,7896,9201,9826,13251,11044,20574,4412,14316,3293,10102,2703,8661,2368,10465,740,5268,87,2150,1,13,0,0,0,0
2024-02,4호선,0409,당고개,78,0,7303,23,14899,3991,38116,5179,32339,9302,20436,9353,15575,8790,14399,8119,15228,9766,14491,9534,13509,10964,12281,12453,12736,15224,12359,18038,11922,24772,7478,22824,5165,15733,4321,14035,2931,12786,1454,9102,285,3381,4,410,0,0,0,0
2024-02,4호선,0410,상계,31,3,12966,254,32914,5698,77710,9659,64949,18470,38523,16142,29804,14689,27753,15653,29499,19736,27375,20744,24501,22180,23580,26335,24499,31934,24377,40413,23479,60852,14441,54418,11428,33750,10037,30697,10486,27494,3412,18863,576,5422,3,533,0,0,0,0
2024-02,4호선,0411,노원,235,4,12231,1474,25580,13676,58456,26209,70386,54861,45054,45387,36538,36172,36955,37957,43464,42465,43202,46807,42370,46991,45405,51324,48831,58063,52658,72915,57623,104598,42244,76650,36924,47616,33455,40863,30787,35437,14562,23902,3284,7199,24,812,0,1,0,0
2024-02,4호선,0412,창동,1664,22,14595,2093,33577,10789,77250,15951,69775,40800,46679,33766,40225,28920,40790,29754,41885,36607,39198,42826,38788,44248,41473,47733,46827,50985,45107,61042,47253,84044,27087,71400,21382,44274,18515,38006,14793,34241,6460,20987,1222,7588,10,150,0,0,0,0
2024-02,4호선,0413,쌍문,161,5,21213,1087,45413,8041,107684,12820,112526,24996,69886,19368,49649,18898,43643,21255,44360,25109,41534,27525,36952,30833,33568,40795,34473,49386,35695,63135,32745,94179,21396,87856,15622,56893,12363,48725,9298,45384,4291,29405,656,9394,15,75,0,1,0,0
2024-02,4호선,0414,수유(강북구청),67,6,19440,2974,40079,9266,93396,17648,104947,48809,70335,35644,50738,28615,48123,30908,51240,34718,49738,39166,47378,42495,46016,51503,49529,63425,52322,77495,59439,112047,35852,99807,27623,63401,24262,55902,19685,51071,10904,34608,1957,8566,17,98,0,0,0,0
2024-02,4호선,0415,미아(서울사이버대학),36,7,9822,1591,17653,6772,39292,10104,45988,30136,30346,20298,23408,16364,22024,15897,25335,16311,23770,18680,22217,19916,21594,24464,23312,27237,26289,31444,27004,41662,16075,35483,11232,22502,8737,20106,6760,17360,2576,11560,391,3290,6,25,0,0,0,0
2024-02,4호선,0416,미아사거리,54,5,13374,2319,30862,7325,77250,13576,85260,29386,54642,28281,39876,25953,38300,27662,40690,31153,41153,33165,38958,37600,40247,44667,40787,52105,40070,64428,40390,91699,28562,72574,27936,44619,17596,40126,12579,34231,6216,20275,1067,5246,6,70,0,0,0,0
2024-02,4호선,0417,길음,14,1,9061,1499,28862,7163,74771,10071,77019,24051,45236,18610,32319,16847,28321,17787,30260,22280,29278,24181,26458,25460,27088,29336,29283,36580,31012,47641,29035,70964,16278,57565,12817,36326,9786,34322,9389,31443,3295,19222,612,5810,17,60,1,0,0,0
2024-02,4호선,0418,성신여대입구(돈암),28,8,5263,1566,16432,5381,40004,12739,45341,30370,34024,25614,26941,21166,27224,21729,32034,26321,32130,29248,30373,29440,32233,31644,35200,37132,39876,47188,42551,61637,28206,50225,25017,32133,27224,29843,23904,26176,11262,17361,1880,5788,13,68,0,0,0,0
2024-02,4호선,0419,한성대입구(삼선교),60,0,5658,1056,10915,6053,25476,12107,32058,23113,23367,21216,18177,16442,17911,16060,20183,17173,20932,18080,20049,16832,21236,18890,24883,21412,27153,25036,27104,31771,14892,25642,12232,17483,11379,17194,8532,15893,3755,10193,521,4744,3,1348,0,0,0,0
2024-02,4호선,0420,혜화,18,0,2913,2091,6499,19784,15176,39927,18434,99394,22768,77596,29563,62770,34229,58226,37703,75086,40053,95887,52273,78047,71728,62103,87119,61705,104908,67439,112822,72045,68459,51282,70224,19699,91785,18092,82188,14931,27401,9723,3531,2923,14,429,0,0,0,0
2024-02,4호선,0421,동대문,169,8,3753,2072,2335,11242,3995,27910,6036,58635,9839,56680,15183,52867,21236,49119,27588,44933,33831,42762,42932,39557,51834,32577,61325,25746,77357,20368,56316,17840,31703,18034,23521,12660,21578,8859,16677,6322,7551,4800,1121,1286,10,127,0,0,0,0
2024-02,4호선,0422,동대문역사문화공원(DDP),350,7,5145,1416,3751,11727,7288,25603,10815,59573,13780,35350,16228,28706,18697,27027,20244,26612,23195,27230,29339,27155,37361,24509,43742,22704,58839,23527,74568,24812,41968,24986,31914,16901,30312,14338,24459,11394,12325,7699,2277,2615,16,132,0,0,0,0
2024-02,4호선,0423,충무로,82,6,2842,2705,5129,19687,10237,52598,16776,154691,20697,89835,24429,48639,28962,42435,30012,40754,35767,42704,40898,36112,44973,33571,55704,35165,85924,39711,137836,43226,62204,28145,46934,18711,45531,18245,35853,16435,19547,11240,3498,3621,14,186,0,0,0,0
2024-02,4호선,0424,명동,14,1,1164,948,2997,18517,6486,43857,12238,105016,23508,73868,30498,54193,35949,58733,36376,62259,40300,65619,48703,61607,61248,61580,72054,62357,88773,62736,124640,58930,74673,45760,65511,33539,59936,24287,52208,15810,21427,8847,1521,2911,15,126,0,1,0,0
2024-02,4호선,0425,회현(남대문시장),50,1,1092,618,2884,17916,4354,48620,7540,129444,10257,88628,14693,69462,23493,65241,31813,54863,41690,49355,51809,44828,63058,37664,75978,28429,95637,22233,112330,18373,53556,10382,51060,5873,19300,5597,11210,4539,4127,2935,569,976,5,86,0,0,0,0
2024-02,4호선,0426,서울역,213,7,3834,819,5291,14621,10511,36804,14322,80502,12554,52139,11881,29476,14284,28710,15005,32031,15191,32983,15616,30467,17760,34392,21597,36212,43107,40214,56356,39665,23441,31246,15331,22126,13583,19626,9780,15756,4411,7827,627,2391,11,213,0,0,0,0
2024-02,4호선,0427,숙대입구(갈월),17,4,2586,643,6874,6328,14334,18373,23477,41742,17827,26964,15224,16092,14979,15944,18026,16051,18515,18759,19222,17753,19936,18513,25219,21242,34938,27224,44528,34940,22637,23725,20038,15108,19559,13274,16202,12116,8089,7811,965,1912,5,14,0,0,0,0
2024-02,4호선,0428,삼각지,4,2,520,343,1784,4604,6066,11622,9301,18557,5904,10489,4996,9067,5530,10376,6576,11359,7751,11629,8585,9984,9142,11513,10079,12634,15539,17097,22683,23303,11548,14013,11708,7218,14191,5732,13145,4870,7075,3260,883,1198,7,18,0,0,0,0
2024-02,4호선,0429,신용산,4,0,1296,1149,3696,13013,10246,34395,16249,87030,14184,64229,13134,31450,17233,28172,18582,30022,23219,30554,23197,28668,31548,29440,40535,31931,61106,38294,89943,44582,45049,26990,37329,15183,37391,10931,27132,8131,11992,4428,1622,1229,8,33,0,0,0,0
2024-02,4호선,0430,이촌(국립중앙박물관),8,1,1125,849,4286,6035,10401,10730,15137,22169,10827,18999,8945,19644,10078,17558,13537,17924,16110,20736,17088,18714,21813,16712,27107,14672,29587,14755,25037,19360,9563,13262,7296,8322,6625,7678,3779,6562,1529,4017,169,1138,1,37,0,0,0,0
2024-02,4호선,0431,동작(현충원),0,0,176,282,485,1609,1434,2543,1862,4158,1504,2819,1476,2523,1831,2029,1870,1987,1940,2396,2252,2457,2760,2392,3414,2145,4350,2349,4111,2857,1720,1765,1270,1947,1269,826,775,700,313,448,76,299,0,63,0,0,0,0
2024-02,4호선,0432,총신대입구(이수),77,1,5319,845,14351,8455,40585,14859,53094,37952,34495,27362,26946,23452,26226,23768,29036,26009,30015,29707,28142,31271,29060,36941,30242,41424,34597,50981,40180,71662,24592,45518,21829,26606,19196,23663,16450,20714,7754,11833,1083,3150,9,604,0,0,0,0
2024-02,4호선,0433,사당,166,43,9346,1064,23090,15953,62170,19452,71026,30705,56285,24717,38759,21907,33282,30145,35969,30965,35981,27546,35144,27798,34782,31634,35472,42485,42263,61368,46175,86607,31493,56873,29938,34184,32189,30804,29362,27929,14392,18161,1493,5417,3,568,0,8,0,0
2024-02,4호선,0434,남태령,9,0,546,30,826,1254,2027,3775,3336,5071,2602,1760,2246,1142,2316,1295,2264,1381,2054,1335,1945,1392,2005,1487,2862,1677,4726,1615,3669,1868,1419,1536,1024,1530,653,1130,303,787,164,560,15,138,0,0,0,0,0,0
2024-02,경부선,1001,서울역,8,10,44,589,118,4337,11500,6754,21647,7681,18961,6370,16230,5136,20536,3004,21096,5304,18877,4945,8945,4319,21814,5186,22548,5509,19186,9166,22689,9693,22283,6541,15217,4422,19021,3817,16141,2898,8702,694,1882,43,8,0,0,0,0,0
2024-02,경부선,1002,남영,68,0,2108,1097,3854,6863,11002,20072,17749,39512,11172,23329,8852,11288,9568,10040,10903,10292,11101,11473,11674,10884,12821,11886,16997,13028,27726,16325,34569,22410,15013,14774,12961,9592,12414,8508,10175,7826,4210,4831,262,1081,0,8,0,0,0,0
2024-02,경부선,1003,용산,329,11,4144,4829,5250,33307,20627,70437,29946,136246,40511,107558,35756,79988,54726,76916,52921,80984,64514,82310,52651,79899,96038,81694,106026,82814,120120,84929,150611,86645,101173,60993,98599,41395,98332,27012,68137,14025,23887,6350,1557,2020,13,14,0,0,0,0
2024-02,경부선,1004,노량진,355,8,3929,1484,5783,4883,14744,7095,20810,12847,12371,9712,9560,8295,11098,10471,12119,11058,13365,11642,13771,11015,13561,12705,13855,15789,15857,23201,16137,33616,12030,19725,12034,11840,12830,10720,12526,9023,4603,5693,279,1193,3,3,0,0,0,0
2024-02,경부선,1005,대방,369,4,4353,1799,7751,7137,20344,27066,26526,38522,15733,19320,12684,10686,12256,10623,13382,11318,13448,13589,14256,11552,14719,12973,15740,15444,26364,20558,33346,28996,12519,19052,9423,12983,8366,12769,5632,11223,1892,6665,133,1618,1,13,0,0,0,0
2024-02,경부선,1006,영등포,3372,100,13394,5870,14313,20822,35265,51277,51043,117666,35856,86354,36181,69425,42538,78472,51972,86291,55241,92222,59245,80385,83873,76822,97529,79870,112796,87163,149434,105179,92736,67815,93282,37371,72649,28767,58745,22905,24235,12968,865,3677,5,27,0,0,0,0
2024-02,경부선,1007,신도림,290,2,1944,623,2678,2534,7408,5777,9751,13752,5299,6470,4202,4646,4208,4246,4467,4503,4566,5021,4648,4745,5086,5601,5986,6437,8603,8356,12174,11405,5788,7121,4584,3997,4542,3679,3499,2878,1503,1934,65,995,2,3,0,0,0,0
2024-02,경부선,1032,신길,562,1,8003,1322,9672,4025,20627,14187,28677,23706,16799,9392,11114,6289,9868,6139,12050,6801,10226,7941,9395,7607,9876,9423,11739,11389,16753,14471,24992,20179,9404,14813,7185,10343,6525,11124,4931,9487,1805,5475,104,1448,0,16,0,0,0,0
2024-02,경부선,1701,구로,8834,29,17619,3353,15976,11509,31745,25858,32046,63168,23445,35872,19707,26316,20607,24131,22983,22440,23794,23928,24735,22776,27748,24354,31903,28816,47676,32750,52186,38677,23795,28125,18942,18594,16391,17872,10726,15727,4546,11772,60,9781,0,45,0,0,0,0
2024-02,경부선,1702,가산디지털단지,941,5,6062,2499,6145,9993,12308,49032,13937,133901,10603,66670,9928,21868,11393,15015,13989,15208,14754,16510,17082,15548,20140,15459,27373,18176,64145,21795,95666,25610,38897,19257,22789,12414,19037,11051,13298,10107,5829,6152,239,1023,0,0,0,0,0,0
2024-02,경부선,1703,금천구청,358,6,9779,1336,15804,5727,37110,13683,35357,27899,21865,10554,16353,9132,15363,9514,15811,11351,15062,13413,13483,12991,13866,16575,15100,19879,16620,26038,25661,38568,10620,29163,7597,16094,6528,15835,4232,12860,1412,8590,54,616,0,0,0,0,0,0
2024-02,경부선,1704,석수,257,0,6427,2070,13834,5289,30969,9721,29867,13001,16829,9189,12889,7679,11380,5881,12139,6517,11285,7483,10410,8011,11124,10102,12783,12552,14873,17955,14633,28249,7944,21679,5483,14053,4310,13154,3022,11510,1184,6759,55,463,0,0,0,0,0,0
2024-02,경부선,1705,관악,136,1,7099,1447,11347,3159,29609,5554,25912,10060,13481,8908,10488,8515,9799,6827,11061,7201,10838,7170,9520,7486,9683,9057,10417,11724,10864,16083,10036,24651,5963,19961,4341,11956,3613,11282,2260,9212,1130,6474,77,683,0,0,0,0,0,0
2024-02,경부선,1706,안양,290,1,12661,3233,28594,12704,71288,15581,63568,26880,36048,22778,28131,20793,27742,24664,31455,26267,29994,30462,29624,26947,31409,35193,35485,39369,35440,49097,31712,74835,20534,58736,18125,33767,16908,28424,14092,23023,6707,16408,344,2577,0,0,0,0,0,0
2024-02,경부선,1707,명학,90,4,5619,1904,9448,8082,23190,21718,19558,46578,10437,12104,7755,6908,8045,5537,9008,6487,8643,7579,8404,6482,9730,7222,12444,8543,22499,10821,32756,17935,10045,16063,8875,8665,6102,7489,3736,7155,1628,5196,108,1205,0,0,0,0,0,0
2024-02,경부선,1708,금정,342,13,19892,4500,33312,17728,79484,40090,77980,83544,47780,32150,35274,21284,33720,23308,35714,25840,34039,27949,32227,29304,33860,37290,40192,43867,60488,59253,71464,85538,33300,69578,26225,42964,22442,39753,16323,34704,7284,23155,534,8887,1,1,0,0,0,0
2024-02,경부선,1709,군포,21,1,4237,1587,7598,7484,16439,28569,14770,38214,8828,8070,7091,4739,7244,4443,8078,5122,7227,5451,6901,5939,7497,6759,9560,7691,22629,9833,30785,14090,9878,10833,8548,7297,4622,5831,2523,5352,1073,3309,66,635,0,0,0,0,0,0
2024-02,경부선,1710,의왕,46,0,5508,3155,11905,10934,25802,28170,24036,23533,12546,8889,10559,5725,10642,6837,11407,7289,10580,8273,10192,8036,12045,10725,16957,12763,25029,15744,21416,25569,11214,17694,7691,12833,5918,11286,3783,9515,1599,6432,72,1188,0,0,0,0,0,0
2024-02,경부선,1711,성균관대,179,1,7789,1910,25634,5675,59494,7807,48828,17183,24795,16352,20236,12838,18428,13234,20325,13975,18610,17015,18244,16636,18576,20743,23307,24812,23413,36422,21564,56495,14506,44544,11745,28650,10402,24792,8968,21009,4200,13985,248,2112,0,0,0,0,0,0
2024-02,경부선,1712,화서,349,18,8252,1001,20830,4199,39020,6259,30291,12426,13648,17015,11478,24321,12041,33316,15057,38105,20637,43279,28286,40524,36354,37994,44384,32040,42826,33096,40037,44468,31037,32419,24855,17835,22663,12898,16060,11568,1947,7641,98,1293,0,0,0,0,0,0
2024-02,경부선,1713,수원,1616,99,18603,3785,32272,27754,63580,42345,59499,59900,44014,56875,44776,62494,52080,64343,56862,77712,57844,76784,61167,77356,73671,78753,85947,88083,84584,97817,96566,122202,74104,92835,78471,55555,60708,40704,53024,33805,21455,21172,689,6821,0,0,0,0,0,0
2024-02,경부선,1714,독산,488,2,6796,2142,16052,10910,41017,43776,39171,91472,21227,42458,17309,15289,17286,11792,18993,12732,18045,13939,17735,12948,19425,15850,28450,18886,55087,24633,65276,40847,28037,32668,16021,19227,11589,18854,7058,18179,2645,10515,79,738,0,0,0,0,0,0
2024-02,경부선,1715,세류,367,5,3530,1058,8384,2322,13605,3726,9295,3307,5207,2669,4866,2950,4547,2838,4717,3348,4315,3402,4276,3772,4695,4446,5903,6046,6485,7361,5110,11440,3030,9090,2436,6697,2065,6043,1196,4348,428,2544,17,812,0,0,0,0,0,0
2024-02,경부선,1716,병점,2935,21,7273,2907,25248,10062,44242,17645,35039,21996,24807,13293,24437,10862,23673,13299,24775,14629,22662,15700,21280,18386,22709,21737,25524,27037,29063,35638,28252,46832,16033,39533,12404,30445,10179,23667,7045,21714,2538,15642,52,6139,2,0,0,0,0,0
2024-02,경부선,1717,세마,236,0,1882,1086,5169,3134,8016,4071,7237,9200,5852,2262,4707,1843,4408,2450,4633,2489,5243,3025,4504,3245,4762,3103,6346,5660,6676,7136,7937,8255,3097,6934,1991,5263,1712,4591,1093,4240,564,2122,62,214,0,0,0,0,0,0
2024-02,경부선,1718,오산대,263,1,2669,978,6214,2422,10831,3532,7770,6227,5957,2741,5054,2930,4842,3156,5094,3132,5608,4001,4849,4494,4787,3912,6015,6052,6712,7889,8060,11494,3473,9660,2889,5795,2689,5193,1912,4362,909,2559,99,258,0,0,0,0,0,0
2024-02,경부선,1719,오산,299,0,6707,1770,13483,9191,19638,23006,21496,17178,16629,12050,17868,10645,17332,10500,18768,13785,16524,14680,16664,14612,17502,17602,20364,21347,23266,24271,24931,29124,14858,22178,11558,17760,7901,13697,5053,10093,2190,7558,135,560,0,0,0,0,0,0
2024-02,경부선,1720,진위,5,0,615,209,1372,2079,2330,7090,2012,6641,1847,2294,1613,1860,1762,1110,1735,1046,1811,1141,1634,1228,3283,1417,3132,1818,6608,2029,7956,2361,2630,2152,1499,1547,981,1442,467,1009,241,794,11,56,0,0,0,0,0,0
2024-02,경부선,1721,송탄,56,1,4396,744,6756,3111,10985,5079,9582,6465,8417,3979,7665,3915,8121,4796,8159,5421,7859,6040,7201,6434,7716,7482,8366,8913,9019,11554,9790,11898,5568,11853,3822,9429,3224,7969,2090,6978,837,5924,75,488,0,0,0,0,0,0
2024-02,경부선,1722,서정리,42,1,3744,4066,10331,8371,14549,13776,14095,16719,12655,7492,12658,6607,12422,7055,14158,9125,11794,10259,12241,10412,13798,11743,17143,16148,30326,18855,20883,17522,11624,17692,9015,14249,6895,11059,4335,10565,2289,7542,90,754,0,0,0,0,0,0
2024-02,경부선,1723,평택지제,11,1,2279,5823,4613,9701,9507,11644,7868,7384,6542,4481,5997,3620,6279,4080,7102,4888,5251,4196,5750,4512,8437,5843,7648,6573,15039,7613,11051,9547,7948,9703,5861,6544,4480,5656,4203,5597,2068,3220,38,330,0,0,0,0,0,0
2024-02,경부선,1724,평택,75,3,6680,2415,11822,7554,20504,13100,20717,21558,22131,18860,23030,16002,22177,20920,22186,22579,23413,22228,23709,24656,24053,25376,26498,28956,30090,32817,27778,35885,20697,23778,20418,21240,14366,16184,11942,12076,6560,6812,101,2279,0,0,0,0,0,0
2024-02,경부선,1725,성환,11,0,2001,687,3285,2212,4963,8977,5556,8630,6268,4835,6205,5439,5961,4706,6556,5472,8184,4981,7009,5062,6374,5650,9574,6659,11831,7100,9245,7339,4048,5736,3612,5263,1944,4748,1097,4135,532,3952,50,990,0,0,0,0,0,0
2024-02,경부선,1726,직산,49,1,699,307,1430,1076,1556,2475,1714,3238,1503,997,1479,854,1417,899,1384,1146,1400,979,1164,1110,1465,1129,1490,1492,3052,1819,3090,1968,1114,1957,741,1178,727,997,276,826,145,730,15,129,0,0,0,0,0,0
2024-02,경부선,1727,두정,955,3,4960,1297,8364,3268,14615,6109,12897,9129,11377,10371,10425,8214,10289,8388,10559,10970,10293,10594,10556,9821,11332,8527,12737,12413,13912,15131,14748,19377,8705,15608,6568,11313,5696,8925,3791,8784,2277,7106,34,1983,0,0,0,0,0,0
2024-02,경부선,1728,천안,1591,4,2635,678,4800,2587,9198,5076,8686,10316,12730,11459,11425,10122,12878,12463,12323,13798,12603,13501,14645,12823,13953,13493,14475,12744,13737,17586,12918,17005,9146,11234,7341,8580,5444,6601,3226,4965,2020,3009,22,2050,0,0,0,0,0,0
2024-02,경부선,1729,당정,13,0,3519,911,9329,2781,21962,7803,19298,13244,10847,5903,8216,4045,8291,4357,9498,4760,8323,5151,7454,5601,8069,7410,7897,8880,9521,11754,11935,18455,4919,14902,3916,11126,3101,8964,2359,8723,983,5571,60,1039,0,0,0,0,0,0
2024-02,경부선,1749,서동탄,1,0,1162,7,5070,703,8867,1396,3683,1167,2603,667,2021,710,2132,1036,1979,1065,1954,1193,1766,1468,1969,2225,1722,2709,1924,3000,2013,5284,996,5574,689,2615,441,1788,414,2380,116,1510,10,1179,0,0,0,0,0,0
2024-02,경부선,1750,광명,0,0,29,1413,3294,2777,9877,6188,9444,6552,6132,5808,3942,3879,7687,2528,5617,7732,5190,438,3589,8342,6770,4684,7216,5007,8766,6951,9632,11744,8662,6893,3080,4439,7567,2783,2630,4379,1237,56,2,1,0,0,0,0,0,0
2024-02,경인선,1801,개봉,1203,5,16317,4545,33273,10252,80520,12254,74653,19504,47236,17888,34725,16016,31862,17867,32192,22637,30029,24260,26740,26026,25316,32930,27913,43346,28495,54013,27408,80134,16959,61357,13493,39115,10641,35604,8110,28520,3191,16882,74,1574,0,0,0,0,0,0
2024-02,경인선,1802,오류동,319,3,10990,1610,16534,4306,41908,4761,40522,10471,26282,9417,21033,8221,18446,8735,18944,11637,17020,12748,14832,14106,14361,16845,14639,20642,14493,25878,13151,38155,7938,32811,6004,21284,5358,18818,3396,16437,1700,10702,83,1587,0,0,0,0,0,0
2024-02,경인선,1803,역곡,704,5,23776,2825,39618,8895,99971,11472,97031,25045,56220,20972,39119,18885,35664,21416,37204,26517,34836,25976,30146,31749,28897,36766,31058,51588,31678,64188,31075,99906,19691,81400,16129,46691,13650,45030,11671,36335,4793,24470,283,3637,0,0,0,0,0,0
2024-02,경인선,1804,부천,2355,33,33058,3474,37138,10617,87913,14647,87732,33563,55014,35565,42955,38475,45689,39689,48099,48007,47069,52826,47379,50433,51023,55978,52762,61529,52272,80913,53815,101922,35410,86007,30357,52529,27543,45236,21977,36757,10628,24969,786,4455,0,12,0,0,0,0
2024-02,경인선,1805,송내,1301,4,15108,6350,33871,12805,91768,23813,78015,65795,44131,35648,33482,21067,34641,20481,33882,23049,31970,24375,28898,24281,30840,29533,33101,37436,41818,51837,67518,80357,25983,72849,19900,43169,17018,37291,13720,32714,6220,20120,605,3087,2,39,0,0,0,0
2024-02,경인선,1806,부평,7093,65,20337,4044,32128,9912,71550,16036,68086,29231,42325,34570,37257,34060,39665,39630,43878,48769,43924,53372,44686,54650,50031,54980,53720,63485,55636,77668,51879,107483,38884,88765,35793,51476,35780,42458,31244,33463,18161,22267,2877,7078,22,61,0,0,0,0
2024-02,경인선,1807,백운,76,2,7610,1189,13438,2133,26646,3316,23739,7658,14639,5787,12473,5508,12194,6780,12374,7964,10888,8508,9619,9001,9499,11137,9523,13137,9492,17007,8473,23082,4578,22791,3743,13438,3238,12136,2333,10101,1183,6745,121,2223,1,15,0,0,0,0
2024-02,경인선,1808,동암,395,5,17823,2446,26966,6653,50200,11028,48642,15246,30059,13276,25032,12846,23767,15957,25421,19032,22809,17464,20654,20212,20965,22994,21679,28569,22060,39917,20445,51458,13142,46755,10613,30975,9517,27131,7346,23148,3650,13822,333,4531,0,34,0,0,0,0
2024-02,경인선,1809,주안,715,23,12435,3115,25546,6930,51482,14279,47436,23185,31505,17207,26369,16158,27864,16638,31695,19881,28415,19546,26033,21981,27661,22390,30664,29605,32921,35190,30925,49877,19126,53081,17364,29545,16071,26641,12779,24301,6870,17040,774,5183,5,32,0,0,0,0
